reset,duration,log10_resp,timestamp,multiStepPredictions.actual,multiStepPredictions.1,multiStepBucketLikelihoods.1,multiStepBestPredictions.actual,multiStepBestPredictions.1,anomalyScore,anomalyLabel,multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1]:window=1000:field=log10_resp,multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1]:window=1000:field=log10_resp
int,string,string,string,string,string,string,string,string,string,string,float,float
R,,,,,,,,,,,,
0,290,3.075181855,2015-11-03 22:00:00,3.075181855,None,None,3.075181855,None,1.0,[],0,0
0,867,2.938019098,2015-11-03 22:00:30,2.938019098,{3.075181855: 1.0},{0: 1.0},2.938019098,3.075181855,1.0,[],0.137162757,4.66854545273
0,270,2.688419822,2015-11-03 22:01:00,2.688419822,{3.075181855: 1.0},{2: 1.0},2.688419822,3.075181855,1.0,[],0.261962395,9.31183644663
0,333,2.679427897,2015-11-03 22:01:30,2.679427897,{3.0340330278999996: 1.0},{5: 1.0},2.679427897,3.0340330279,0.0,[],0.292843306967,10.5772213817
0,268,3.224533063,2015-11-03 22:02:00,3.224533063,{2.9303490661299993: 1.0},{4: 1.0},3.224533063,2.93034906613,0.025,[],0.293178479442,10.1706266042
0,285,2.72916479,2015-11-03 22:02:30,2.72916479,{2.8550727153909996: 1.0},{3: 1.0},2.72916479,2.85507271539,0.0,[],0.259724368632,9.10702306286
0,295,2.960470778,2015-11-03 22:03:00,2.960470778,{2.8550727153909996: 0.65374559107663832	 3.224533063: 0.34625440892336168},{8: 0.34625440892336168	 3: 0.65374559107663832},2.960470778,2.85507271539,0.0,[],0.234003317628,8.15340891725
0,288,2.85308953,2015-11-03 22:03:30,2.85308953,{2.8550727153909996: 0.4679691907201019	 2.72916479: 0.28435099657615898	 3.224533063: 0.24767981270373909},{8: 0.24767981270373909	 1: 0.28435099657615898	 3: 0.4679691907201019},2.85308953,2.85507271539,0.0,[],0.200857584452,7.00440560551
0,281,2.7084209,2015-11-03 22:04:00,2.7084209,{2.960470778: 0.21380231652451362	 2.8550727153909996: 0.36859196765208019	 2.72916479: 0.22261327063829436	 3.224533063: 0.194992445185112},{8: 0.194992445185112	 1: 0.22261327063829436	 3: 0.36859196765208019	 4: 0.21380231652451362},2.7084209,2.85507271539,0.0,[],0.194081863319,6.81540627167
0,296,2.820857989,2015-11-03 22:04:30,2.820857989,{2.85308953: 0.18949154057642426	 2.960470778: 0.17535447728809084	 2.8550727153909996: 0.30240633797561139	 2.72916479: 0.1728204794013854	 3.224533063: 0.15992716475848803},{8: 0.15992716475848803	 1: 0.1728204794013854	 2: 0.18949154057642426	 3: 0.30240633797561139	 4: 0.17535447728809084},2.820857989,2.85507271539,0.0,[],0.176318848105,6.19812749297
0,352,2.755112266,2015-11-03 22:05:00,2.755112266,{2.85308953: 0.15613526599612035	 2.960470778: 0.14632326717290095	 2.8110771707736997: 0.4216925896605252	 2.72916479: 0.14239881864292209	 3.224533063: 0.13345005852753136},{8: 0.13345005852753136	 1: 0.14239881864292209	 2: 0.4216925896605252	 4: 0.14632326717290095},2.755112266,2.81107717077,0.0,[],0.164283453772,5.79329490641
0,287,2.621176282,2015-11-03 22:05:30,2.621176282,{2.8110771707736997: 0.35999007171744368	 2.960470778: 0.12528687449491632	 2.8434200677: 0.27924734637741255	 2.72916479: 0.12121130464561393	 3.224533063: 0.11426440276461348},{8: 0.11426440276461348	 1: 0.12121130464561393	 2: 0.35999007171744368	 4: 0.12528687449491632},2.621176282,2.81107717077,0.0,[],0.166612311499,5.91611615474
0,399,2.668385917,2015-11-03 22:06:00,2.668385917,{2.8110771707736997: 0.30974992431898074	 2.7369490327999997: 0.23811854475951921	 2.8434200677: 0.24294011835350562	 2.960470778: 0.10940846799754575	 3.224533063: 0.099782944570448728},{8: 0.099782944570448728	 2: 0.23811854475951921	 3: 0.30974992431898074	 5: 0.10940846799754575},2.668385917,2.81107717077,0.0,[],0.164618890022,5.87101994643
0,288,2.643452677,2015-11-03 22:06:30,2.643452677,{2.960470778: 0.088456655778777607	 2.7369490327999997: 0.19624225596725745	 2.8434200677: 0.19661521333519708	 2.7541069041415898: 0.43801144686024795	 3.224533063: 0.080674428058519917},{8: 0.080674428058519917	 2: 0.43801144686024795	 3: 0.19661521333519708	 5: 0.088456655778777607},2.643452677,2.75410690414,0.0,[],0.160467762108,5.74827881931
0,877,2.968015714,2015-11-03 22:07:00,2.968015714,{2.7163800980599997: 0.33501372965213655	 2.960470778: 0.070974025178410921	 2.8434200677: 0.23947723309905244	 2.7541069041415898: 0.28980513009748227	 3.224533063: 0.064729881972917874},{8: 0.064729881972917874	 1: 0.33501372965213655	 2: 0.28980513009748227	 3: 0.23947723309905244	 5: 0.070974025178410921},2.968015714,2.71638009806,0.0,[],0.166979751668,5.95466903001
0,287,2.681241237,2015-11-03 22:07:30,2.681241237,{2.7163800980599997: 0.34876132180162522	 2.720910635999113: 0.34440918824672451	 2.8434200677: 0.18786183462294195	 2.960470778: 0.062220856731121557	 3.224533063: 0.05674679859758671},{8: 0.05674679859758671	 1: 0.34440918824672451	 3: 0.18786183462294195	 5: 0.062220856731121557},2.681241237,2.71638009806,0.0,[],0.15819035896,5.65776676475
0,296,2.713490543,2015-11-03 22:08:00,2.713490543,{2.960470778: 0.07134666252881193	 2.720910635999113: 0.35275919274992257	 2.7163800980599997: 0.31133194649964963	 3.224533063: 0.065069735484812194	 2.968015714: 0.039291833731297805	 2.8434200677: 0.16020062900550594},{8: 0.065069735484812194	 1: 0.31133194649964963	 3: 0.16020062900550594	 5: 0.039291833731297805},2.713490543,2.720910636,0.0,[],0.148767217338,5.33057270866
0,404,2.665580991,2015-11-03 22:08:30,2.665580991,{2.960470778: 0.06574885282018017	 2.720910635999113: 0.32160203980612473	 2.8434200677: 0.14354805342905286	 3.224533063: 0.059964409123009453	 2.968015714: 0.034080097030522567	 2.7058384397419997: 0.37505654779111014},{8: 0.059964409123009453	 1: 0.37505654779111014	 3: 0.14354805342905286	 5: 0.034080097030522567},2.665580991,2.70583843974,0.0,[],0.142384289773,5.11536616062
0,374,2.710117365,2015-11-03 22:09:00,2.710117365,{2.960470778: 0.057704870600893785	 2.7081340707193995: 0.45157745720343678	 2.720910635999113: 0.28211982215922521	 2.8434200677: 0.12613687365480861	 3.224533063: 0.052628119285455813	 2.968015714: 0.029832857096179846},{8: 0.052628119285455813	 1: 0.28211982215922521	 3: 0.12613687365480861	 5: 0.029832857096179846},2.710117365,2.70813407072,0.0,[],0.134584234468,4.84222619074
0,280,2.733999287,2015-11-03 22:09:30,2.733999287,{2.960470778: 0.051172782422063391	 2.720910635999113: 0.25007084602429386	 2.6953681468035797: 0.51374079664402594	 2.8434200677: 0.11195421675636696	 3.224533063: 0.046670710278575833	 2.968015714: 0.026390647874674118},{8: 0.046670710278575833	 1: 0.51374079664402594	 3: 0.11195421675636696	 5: 0.026390647874674118},2.733999287,2.6953681468,0.0,[],0.129534071612,4.66453475599
0,361,2.757396029,2015-11-03 22:10:00,2.757396029,{2.960470778: 0.052784554217456252	 2.720910635999113: 0.26241954168707149	 2.8434200677: 0.13592455274533252	 3.224533063: 0.048140681832546453	 2.968015714: 0.033542174032985719	 2.699792912262506: 0.4671884954846075},{8: 0.048140681832546453	 1: 0.4671884954846075	 3: 0.13592455274533252	 5: 0.033542174032985719},2.757396029,2.69979291226,0.0,[],0.125937523868,4.53662390703
0,394,3.184691431,2015-11-03 22:10:30,3.184691431,{2.960470778: 0.04960944300276085	 2.720910635999113: 0.24462362405970911	 3.224533063: 0.045244910123650381	 2.968015714: 0.027311891826644973	 2.8105938334899996: 0.19724213236592289	 2.699792912262506: 0.43596799862131186},{8: 0.045244910123650381	 1: 0.43596799862131186	 3: 0.19724213236592289	 5: 0.027311891826644973},3.184691431,2.69979291226,0.0,[],0.143030904576,5.11650752354
0,418,3.152594078,2015-11-03 22:11:00,3.152594078,{2.960470778: 0.080313245775409173	 2.720910635999113: 0.25185620995819741	 2.7946344921429995: 0.22789886049472685	 3.224533063: 0.073247457881049097	 2.968015714: 0.048705456627316145	 2.699792912262506: 0.31797876926330143},{8: 0.073247457881049097	 1: 0.31797876926330143	 2: 0.22789886049472685	 5: 0.048705456627316145},3.152594078,2.69979291226,0.0,[],0.157111370993,5.58774821299
0,316,2.677606953,2015-11-03 22:11:30,2.677606953,{3.2125805734: 0.10589395751607937	 2.720910635999113: 0.24391891963359519	 2.7946344921429995: 0.21899662404440937	 2.960470778: 0.078406610450316425	 2.968015714: 0.048573687537080482	 2.699792912262506: 0.30421020081851913},{8: 0.10589395751607937	 1: 0.30421020081851913	 2: 0.21899662404440937	 5: 0.048573687537080482},2.677606953,2.69979291226,0.0,[],0.151245048743,5.39028721842
0,271,3.161966616,2015-11-03 22:12:00,3.161966616,{3.2125805734: 0.095824991153332387	 2.720910635999113: 0.2845403609856616	 2.7946344921429995: 0.19691585072830514	 2.960470778: 0.069243133231770421	 2.968015714: 0.0011895130656087299	 3.152594078: 0.083885825607940792	 2.699792912262506: 0.26840032522738089},{8: 0.095824991153332387	 1: 0.26840032522738089	 2: 0.19691585072830514	 5: 0.0011895130656087299	 7: 0.083885825607940792},3.161966616,2.720910636,0.0,[],0.163320504212,5.79003310557
0,275,2.822821645,2015-11-03 22:12:30,2.822821645,{3.2125805734: 0.080818744116664523	 2.693137124483754: 0.35861495390547904	 2.720910635999113: 0.1828390643324094	 2.7946344921429995: 0.16512010117333317	 2.960470778: 0.057635084373753094	 2.968015714: 0.033778371869071303	 3.152594078: 0.1211936802292894},{8: 0.080818744116664523	 1: 0.1828390643324094	 2: 0.16512010117333317	 5: 0.033778371869071303	 7: 0.1211936802292894},2.822821645,2.69313712448,0.0,[],0.161975064865,5.7421633354
0,393,2.612783857,2015-11-03 22:13:00,2.612783857,{3.2125805734: 0.0748573868633194	 2.693137124483754: 0.33189374138915984	 3.1554058393999997: 0.1853054724671265	 2.720910635999113: 0.16710678751819322	 2.7946344921429995: 0.15335485960726722	 2.960470778: 0.053791552712958331	 2.968015714: 0.03369019944197555},{8: 0.0748573868633194	 1: 0.16710678751819322	 2: 0.15335485960726722	 5: 0.03369019944197555	 7: 0.1853054724671265},2.612783857,2.69313712448,0.0,[],0.158835764965,5.64688869233
0,291,3.384711743,2015-11-03 22:13:30,3.384711743,{3.2125805734: 0.066754174310009198	 2.693137124483754: 0.29444262216711697	 3.1554058393999997: 0.16423496144325686	 2.720910635999113: 0.14827534729625388	 2.7946344921429995: 0.13610663020595398	 2.822821645: 0.11413110296774238	 2.960470778: 0.047263520492689268	 2.968015714: 0.0287916411169774},{1: 0.14827534729625388	 2: 0.13610663020595398	 3: 0.11413110296774238	 5: 0.0287916411169774	 7: 0.16423496144325686	 8: 0.066754174310009198},3.384711743,2.69313712448,0.05,[],0.178566833615,6.30091345352
0,279,2.800717078,2015-11-03 22:14:00,2.800717078,{3.2125805734: 0.060458836029217568	 2.693137124483754: 0.26407414096287263	 3.1554058393999997: 0.14608024771369665	 2.822821645: 0.10137268178896729	 2.7946344921429995: 0.12248828954483899	 2.688472602299379: 0.23806880237547451	 2.960470778: 0.04196260918857659	 2.968015714: 0.025494392396355706},{1: 0.23806880237547451	 2: 0.12248828954483899	 3: 0.10137268178896729	 5: 0.025494392396355706	 7: 0.14608024771369665	 8: 0.060458836029217568},2.800717078,2.69313712448,0.0,[],0.176031587898,6.21405980746
0,262,2.788168371,2015-11-03 22:14:30,2.788168371,{3.384711743: 0.099678480754337787	 3.2125805734: 0.054386911455086076	 2.693137124483754: 0.23794531412748646	 3.1554058393999997: 0.13243861972258134	 2.822821645: 0.090908980831351849	 2.7946344921429995: 0.11008570727072019	 2.688472602299379: 0.21496184314741607	 2.960470778: 0.037627731938026578},{1: 0.21496184314741607	 2: 0.11008570727072019	 3: 0.090908980831351849	 5: 0.037627731938026578	 7: 0.13243861972258134	 8: 0.054386911455086076	 11: 0.099678480754337787},2.788168371,2.69313712448,0.0,[],0.173238472678,6.11878444373
